stateOrProvince,city,subcountyCode,subcountyName
CA,SAN FRANCISCO,92790,San Francisco CCD
CA,HAYWARD,91260,Hayward CCD
CA,ANTIOCH,90080,Antioch-Pittsburg CCD
CA,VALLEJO,93530,Vallejo CCD
CA,SAN JOSE,92830,San Jose CCD
CA,ELK GROVE,90870,Elk Grove CCD
CA,OAKLAND,92230,Oakland CCD
CA,PITTSBURG,90080,Antioch-Pittsburg CCD
CA,MARYSVILLE,91900,Marysville CCD
CA,HALF MOON BAY,91215,Half Moon Bay CCD
CA,SOUTH SAN FRANCISCO,93170,South San Francisco CCD
CA,SAN MATEO,92870,San Mateo CCD
CA,SOUTH LAKE TAHOE,93160,South Lake Tahoe CCD
CA,BERKELEY,90200,Berkeley CCD
CA,SANTA CLARA,93175,South Santa Clara Valley CCD
CA,DALY CITY,93170,South San Francisco CCD
CA,PACIFICA,93170,South San Francisco CCD
CA,BELMONT,92870,San Mateo CCD
CA,ORINDA,90440,Central Contra Costa CCD
CA,BRISBANE,93170,South San Francisco CCD
CA,SAN BRUNO,93170,South San Francisco CCD
CA,WOODSIDE,92870,San Mateo CCD
CA,SAN LEANDRO,91260,Hayward CCD
CA,CONCORD,90440,Central Contra Costa CCD
CA,MILLBRAE,93170,South San Francisco CCD
CA,REDWOOD CITY,92870,San Mateo CCD
CA,CASTRO VALLEY,91260,Hayward CCD
CA,RICHMOND,93620,West Contra Costa CCD
CA,WALNUT CREEK,90440,Central Contra Costa CCD
CA,BURLINGAME,93170,South San Francisco CCD
CA,FOSTER CITY,92870,San Mateo CCD
CA,NEWARK,91070,Fremont CCD
CA,PINOLE,93620,West Contra Costa CCD
CA,HILLSBOROUGH,92870,San Mateo CCD
CA,COLMA,93170,South San Francisco CCD
CA,SAN CARLOS,92870,San Mateo CCD
CA,VALLEY SPGS,92740,San Andreas CCD
CA,VALLEY SPRINGS,92740,San Andreas CCD
CA,GREENBRAE,92670,Ross Valley CCD
